iter	Logloss
0	0.588080554
1	0.4980387957
2	0.4280686233
3	0.386035147
4	0.345235777
5	0.3165284545
6	0.2943911423
7	0.2772048005
8	0.2631352987
9	0.2506716948
10	0.2416965181
11	0.2334314403
12	0.2262782404
13	0.2207012843
14	0.2154804974
15	0.2101010641
16	0.2061246049
17	0.201704778
18	0.1983235401
19	0.1955623677
20	0.1925880327
21	0.1902440915
22	0.187781298
23	0.1852102757
24	0.183209269
25	0.1815564739
26	0.1794595437
27	0.1777809195
28	0.1755459426
29	0.1738853991
30	0.1727043436
31	0.1714152881
32	0.1704033506
33	0.1687879957
34	0.1678413802
35	0.1668494157
36	0.1656001406
37	0.1644610956
38	0.1631528784
39	0.162007411
40	0.1612671222
41	0.160195937
42	0.1594899594
43	0.1583531858
44	0.157076193
45	0.1563045874
46	0.155486348
47	0.1544819397
48	0.1535036436
49	0.1528722281
50	0.1521753625
51	0.1517126484
52	0.1511125529
53	0.1504976517
54	0.1497106365
55	0.1489513744
56	0.1483612896
57	0.1477445476
58	0.1470647494
59	0.1461990316
60	0.14565313
61	0.1450989314
62	0.1444762696
63	0.1439539085
64	0.1433276809
65	0.1428728947
66	0.1423290076
67	0.1416626789
68	0.1412975673
69	0.1405871654
70	0.1402133214
71	0.1397192158
72	0.1393161893
73	0.1390356836
74	0.138647783
75	0.1382926722
76	0.1378444906
77	0.1374486393
78	0.1370249035
79	0.1367203756
80	0.1361868654
81	0.1357922714
82	0.1352993416
83	0.134877836
84	0.1345386799
85	0.1340660771
86	0.1335118677
87	0.1330997256
88	0.1327941474
89	0.1325043133
90	0.1321379127
91	0.1316672254
92	0.1314124665
93	0.1311322332
94	0.1307198404
95	0.1302968033
96	0.130088801
97	0.1297311898
98	0.1294598446
99	0.1291473282
100	0.1288779732
101	0.1285144156
102	0.1282192283
103	0.1278246134
104	0.1275272736
105	0.1270152914
106	0.1266830689
107	0.1264899586
108	0.1262068301
109	0.1258206377
110	0.1255489379
111	0.1252690144
112	0.1250846814
113	0.124844542
114	0.1246107659
115	0.1241616921
116	0.1239187363
117	0.1236224696
118	0.1234360271
119	0.1232190145
120	0.1229558406
121	0.1227395554
122	0.122525412
123	0.1223613925
124	0.1221630638
125	0.1218134841
126	0.121526395
127	0.1212142406
128	0.1209362465
129	0.120741283
130	0.120567056
131	0.1203677473
132	0.1201296496
133	0.1199042738
134	0.1197478082
135	0.1195629227
136	0.119360152
137	0.1190510343
138	0.1188227544
139	0.1185017929
140	0.118297976
141	0.1180726894
142	0.1177333777
143	0.1175014936
144	0.1173023539
145	0.1171332424
146	0.1168859452
147	0.116715519
148	0.1165970666
149	0.1163225567
150	0.116112058
151	0.1159196161
152	0.115800979
153	0.1154722762
154	0.1152669972
155	0.1151281403
156	0.1148638064
157	0.1147394001
158	0.1144964128
159	0.1141745774
160	0.1140525517
161	0.1138308271
162	0.1136481937
163	0.1134242353
164	0.1133124502
165	0.1131268903
166	0.1128023387
167	0.1126028299
168	0.1123920044
169	0.1122767302
170	0.1121132347
171	0.1119219038
172	0.1117816029
173	0.1116528671
174	0.1114760381
175	0.1112836998
176	0.1110932963
177	0.1109526597
178	0.1108120087
179	0.1106461298
180	0.1104728206
181	0.1103090635
182	0.1101240897
183	0.109991883
184	0.1098432306
185	0.1096770607
186	0.1095480212
187	0.1093070763
188	0.1091539417
189	0.1090134116
190	0.1088681679
191	0.1087008662
192	0.108585648
193	0.1084800518
194	0.1083231061
195	0.1081785873
196	0.1080776806
197	0.1078804888
198	0.1076313487
199	0.1074271946
200	0.107265865
201	0.1071459834
202	0.106972774
203	0.1068398299
204	0.1066979734
205	0.1065652554
206	0.1063968518
207	0.1061589514
208	0.1060554891
209	0.1059012707
210	0.105734138
211	0.1056379514
212	0.1054235087
213	0.1052794393
214	0.1051887237
215	0.1050631296
216	0.1049305833
217	0.1047929537
218	0.1047053528
219	0.1045147922
220	0.1043137716
221	0.104205271
222	0.1039838851
223	0.1038509962
224	0.1037351278
225	0.1035763424
226	0.1034657525
227	0.1033323293
228	0.103238502
229	0.1031598241
230	0.1030650268
231	0.1029759881
232	0.1028279812
233	0.1026977646
234	0.1025957323
235	0.1024438381
236	0.1023290668
237	0.1021971533
238	0.1020871673
239	0.10193199
240	0.1018130122
241	0.1016565665
242	0.1015281266
243	0.1014519356
244	0.1013429453
245	0.1012259329
246	0.1011403112
247	0.1010065741
248	0.1009162384
249	0.1008188749
250	0.1006668682
251	0.1005507548
252	0.1004431207
253	0.1003801982
254	0.1002955207
255	0.1001979546
256	0.1000692568
257	0.09990268003
258	0.09979319955
259	0.09972305671
260	0.09954175377
261	0.09945125798
262	0.09931368224
263	0.09921785287
264	0.09908786603
265	0.09898317912
266	0.0988297502
267	0.09872317861
268	0.09862896154
269	0.09854089467
270	0.09846502386
271	0.09835067386
272	0.09822851336
273	0.09806480767
274	0.09797374469
275	0.09790503833
276	0.09785083446
277	0.09770841188
278	0.09758500755
279	0.09747779905
280	0.09740394405
281	0.09726252457
282	0.09717176689
283	0.09705641445
284	0.09696425217
285	0.09681616951
286	0.0967426441
287	0.09665926141
288	0.09658840113
289	0.0965002033
290	0.09642143778
291	0.09631339216
292	0.09627884047
293	0.09621099003
294	0.09615554881
295	0.09607426118
296	0.09598984903
297	0.09583532268
298	0.09571640792
299	0.09561332257
300	0.09547325067
301	0.09533638566
302	0.09521469807
303	0.09506092636
304	0.09500547672
305	0.09489227793
306	0.09476909629
307	0.09463935391
308	0.09459531479
309	0.09452417915
310	0.09436303163
311	0.09424798722
312	0.0941626211
313	0.09406996129
314	0.09398445775
315	0.09392121654
316	0.09383435431
317	0.09371335498
318	0.09362256954
319	0.09352378983
320	0.09342129025
321	0.09331190476
322	0.09322473823
323	0.09311435269
324	0.09298940433
325	0.09293409669
326	0.09286423746
327	0.09277800009
328	0.09273103278
329	0.09267513071
330	0.09258734962
331	0.09248612187
332	0.09239097141
333	0.09228660365
334	0.09218869892
335	0.09210251319
336	0.09200702396
337	0.09192607316
338	0.09186486703
339	0.09179315967
340	0.09170889125
341	0.09161021244
342	0.09150502877
343	0.09137882093
344	0.0912791019
345	0.09122170987
346	0.0910165672
347	0.09088462601
348	0.09079312206
349	0.09070534355
350	0.09062878761
351	0.09054185854
352	0.09045632086
353	0.09038936905
354	0.09031116715
355	0.09023263397
356	0.09014406813
357	0.09009058666
358	0.08998837961
359	0.08990499787
360	0.08985539855
361	0.08981308189
362	0.08976236196
363	0.08966365132
364	0.08951901115
365	0.08943992849
366	0.08937025973
367	0.08929477932
368	0.08923874673
369	0.08916563049
370	0.08910332855
371	0.08901469295
372	0.08892056639
373	0.08880360736
374	0.08872012007
375	0.08867120952
376	0.08858604149
377	0.08854438997
378	0.08849793554
379	0.08843706939
380	0.08834916495
381	0.08827466086
382	0.08821051885
383	0.08809235387
384	0.08798897384
385	0.08793145459
386	0.08781144722
387	0.08771711871
388	0.08761252905
389	0.08757118303
390	0.08745100382
391	0.0873762744
392	0.08732113687
393	0.0872508432
394	0.08717121286
395	0.08712776754
396	0.08704191522
397	0.08693335701
398	0.08687020292
399	0.08679008503
400	0.08674686075
401	0.08669954666
402	0.08663345341
403	0.08658029972
404	0.08653119927
405	0.08643374343
406	0.08637429831
407	0.08628077167
408	0.08623092874
409	0.08617714331
410	0.08613796625
411	0.08605276344
412	0.08599242014
413	0.08594312867
414	0.08583016668
415	0.08568125902
416	0.08564333572
417	0.08559016028
418	0.08554704051
419	0.08547913262
420	0.08540154696
421	0.08534613227
422	0.08529443246
423	0.08527249989
424	0.08520689482
425	0.08515982738
426	0.08510929737
427	0.08506269681
428	0.08497896481
429	0.08490470996
430	0.08485785177
431	0.08478678002
432	0.08466869941
433	0.08460623355
434	0.08459253962
435	0.08448564788
436	0.08441519607
437	0.08435205892
438	0.08427788534
439	0.08424305241
440	0.08415935601
441	0.08411270907
442	0.08402182968
443	0.08396954336
444	0.08390194187
445	0.08385332233
446	0.08378471094
447	0.0837141357
448	0.08361862219
449	0.08352670905
450	0.0834893851
451	0.08339870212
452	0.08330832739
453	0.08325124664
454	0.08320992996
455	0.08315158018
456	0.08309349352
457	0.08303826396
458	0.08297800268
459	0.08291525155
460	0.08284053179
461	0.08280285741
462	0.08276014848
463	0.08272737384
464	0.08266949706
465	0.08258873168
466	0.08255697395
467	0.0825104766
468	0.08247446505
469	0.08240777245
470	0.08235399351
471	0.08228682152
472	0.0822216975
473	0.0821759825
474	0.0821158258
475	0.08205740343
476	0.08199746596
477	0.08194740078
478	0.08189316773
479	0.08180929977
480	0.08177247303
481	0.08171952724
482	0.08168227341
483	0.08159526612
484	0.08154451488
485	0.08147709515
486	0.08142813208
487	0.0813723469
488	0.08129306442
489	0.08122452253
490	0.08118188969
491	0.08112006071
492	0.081074999
493	0.08099298836
494	0.08088874306
495	0.08081258036
496	0.08076958194
497	0.08074152427
498	0.0806401608
499	0.08056561765
500	0.08052054815
501	0.08048999014
502	0.08041680735
503	0.08038441442
504	0.08030744394
505	0.08029195535
506	0.08023047053
507	0.08017147844
508	0.08012316383
509	0.08004672375
510	0.07999119362
511	0.07993505744
512	0.07987092013
513	0.07983803025
514	0.07981017042
515	0.07974554228
516	0.0796709313
517	0.07962623859
518	0.07960043214
519	0.07952614322
520	0.0794837021
521	0.07942519626
522	0.07937865203
523	0.07934549351
524	0.07926933241
525	0.07922493462
526	0.07915861972
527	0.07914511077
528	0.07906632176
529	0.07904366271
530	0.0789918593
531	0.0789153683
532	0.07885896776
533	0.07881412215
534	0.07877652556
535	0.07868728877
536	0.07865517714
537	0.07863277706
538	0.07858920414
539	0.07851682803
540	0.07846352755
541	0.0783664418
542	0.07827622338
543	0.07821370527
544	0.07816902041
545	0.07810151426
546	0.07802042445
547	0.07797113732
548	0.07789136333
549	0.07782307074
550	0.07776428584
551	0.07772865917
552	0.07768621211
553	0.07760548668
554	0.07754022163
555	0.07749028435
556	0.07742142293
557	0.07738804992
558	0.07731057999
559	0.07725977592
560	0.07722477189
561	0.07718265149
562	0.07716062567
563	0.07709118842
564	0.07704618009
565	0.0770030627
566	0.07693512586
567	0.07691101663
568	0.07688221405
569	0.07682490503
570	0.07676804081
571	0.07673926305
572	0.07668583002
573	0.07663951984
574	0.07656364967
575	0.0765169486
576	0.07646291386
577	0.07640478964
578	0.07633833134
579	0.07626391184
580	0.07622413981
581	0.0761934261
582	0.07613565503
583	0.07610413623
584	0.07606401079
585	0.0759900352
586	0.07595535345
587	0.0759153641
588	0.07584322173
589	0.07583538699
590	0.07577313362
591	0.07573882545
592	0.07570542638
593	0.07566834515
594	0.07562660804
595	0.07555208732
596	0.0755010254
597	0.07547378023
598	0.07542531859
599	0.07539121932
600	0.07535401257
601	0.07529175806
602	0.07523371022
603	0.07518280668
604	0.07510731856
605	0.0750711999
606	0.07503775224
607	0.07497283478
608	0.07496396995
609	0.07492666359
610	0.07487245881
611	0.07481599863
612	0.07477321355
613	0.0747298405
614	0.07469479202
615	0.07465466086
616	0.07460247467
617	0.07457083676
618	0.07454095871
619	0.07447335775
620	0.07442844684
621	0.0743736688
622	0.07433386356
623	0.07430051563
624	0.07424268706
625	0.07422355601
626	0.07418714946
627	0.0741282648
628	0.07410463484
629	0.07403230589
630	0.07398692823
631	0.07394997833
632	0.07388798168
633	0.07383648116
634	0.07380191909
635	0.0737588333
636	0.07371973115
637	0.07364346052
638	0.07361207213
639	0.07355152644
640	0.07350608119
641	0.07346675822
642	0.07344629112
643	0.07342347
644	0.07341728799
645	0.07339155036
646	0.07332996379
647	0.07326772421
648	0.07323392182
649	0.07320127809
650	0.07316709726
651	0.07312533031
652	0.07307356403
653	0.07304682501
654	0.07300792007
655	0.07294910631
656	0.07291452335
657	0.0728583481
658	0.07281122787
659	0.07277070528
660	0.07274774832
661	0.07271474776
662	0.07266555558
663	0.07261463931
664	0.07258289467
665	0.07253624142
666	0.07248267866
667	0.07245198946
668	0.07239055435
669	0.07234253473
670	0.07231046249
671	0.07228301935
672	0.07223946902
673	0.0721936077
674	0.07212769654
675	0.07205787045
676	0.07201012317
677	0.07197662504
678	0.071918926
679	0.07188393876
680	0.07183680334
681	0.07181145771
682	0.07180232007
683	0.07176449463
684	0.07170192146
685	0.0716590787
686	0.07161105133
687	0.07157814524
688	0.07155024002
689	0.07152181935
690	0.07148820091
691	0.07144088374
692	0.07143247106
693	0.07138714326
694	0.07132608612
695	0.07128380416
696	0.07126679422
697	0.07123631519
698	0.0712023586
699	0.07115267817
700	0.07109696302
701	0.07104399948
702	0.0710364556
703	0.07096808837
704	0.07094047337
705	0.07090840332
706	0.07090133309
707	0.07085592782
708	0.07081919513
709	0.0707836626
710	0.07075954251
711	0.07075178215
712	0.07072043913
713	0.07067952408
714	0.07063262436
715	0.07058355916
716	0.07053621019
717	0.07051877199
718	0.07047581914
719	0.07041538245
720	0.07038288859
721	0.070329091
722	0.0702730593
723	0.07023112308
724	0.07018314866
725	0.07015664934
726	0.07011873371
727	0.07006949986
728	0.0700280846
729	0.06996978443
730	0.06993664474
731	0.06989085954
732	0.0698560538
733	0.06983038209
734	0.06979680453
735	0.06975815208
736	0.06972722031
737	0.06968888038
738	0.06964929438
739	0.06958306371
740	0.06951174973
741	0.06949384661
742	0.06947090131
743	0.06940264972
744	0.06936777158
745	0.06934924644
746	0.06933189493
747	0.06930144116
748	0.06924519728
749	0.06919950968
750	0.06917451227
751	0.06916843875
752	0.06913138575
753	0.06907490753
754	0.06902898218
755	0.06898959806
756	0.0689588373
757	0.06891497541
758	0.06891023832
759	0.06887382042
760	0.06882374323
761	0.06878827127
762	0.06876264942
763	0.06870232266
764	0.06867590052
765	0.06865910448
766	0.0686022829
767	0.06858627513
768	0.06852900409
769	0.06851486644
770	0.06849225704
771	0.0684271436
772	0.06838582909
773	0.06834917623
774	0.06830725019
