iter	Passed	Remaining
0	11	11168
1	17	8614
2	24	8187
3	32	8115
4	40	8157
5	48	8022
6	56	8040
7	64	7963
8	73	8060
9	80	7985
10	89	8065
11	97	8014
12	106	8089
13	115	8105
14	122	8048
15	130	8014
16	138	7996
17	148	8083
18	156	8066
19	164	8076
20	172	8039
21	181	8065
22	189	8043
23	198	8059
24	206	8053
25	217	8148
26	228	8242
27	236	8224
28	245	8228
29	253	8211
30	262	8194
31	269	8162
32	277	8141
33	285	8113
34	293	8086
35	301	8064
36	309	8043
37	316	8023
38	324	8003
39	332	7987
40	340	7964
41	348	7945
42	356	7924
43	364	7914
44	371	7890
45	379	7868
46	387	7851
47	395	7836
48	402	7814
49	410	7806
50	419	7797
51	427	7785
52	435	7779
53	443	7773
54	451	7754
55	459	7749
56	467	7736
57	475	7723
58	483	7703
59	491	7706
60	499	7686
61	506	7663
62	514	7644
63	521	7633
64	529	7620
65	537	7612
66	545	7599
67	553	7582
68	561	7571
69	568	7554
70	576	7545
71	584	7527
72	591	7511
73	599	7501
74	606	7482
75	614	7465
76	621	7451
77	629	7440
78	636	7424
79	645	7422
80	653	7413
81	661	7402
82	668	7389
83	676	7377
84	683	7361
85	691	7344
86	698	7333
87	706	7320
88	714	7309
89	721	7298
90	729	7288
91	737	7274
92	744	7261
93	752	7250
94	760	7243
95	768	7234
96	776	7228
97	783	7215
98	791	7201
99	798	7190
100	807	7186
101	814	7174
102	822	7164
103	829	7149
104	837	7138
105	844	7120
106	851	7109
107	859	7096
108	866	7086
109	874	7077
110	881	7062
111	888	7048
112	896	7035
113	904	7026
114	911	7018
115	920	7012
116	927	7002
117	938	7017
118	948	7024
119	958	7025
120	964	7003
121	972	6997
122	979	6981
123	985	6963
124	991	6942
125	999	6933
126	1006	6921
127	1013	6903
128	1020	6893
129	1028	6884
130	1037	6884
131	1045	6873
132	1053	6866
133	1061	6860
134	1068	6845
135	1074	6824
136	1084	6833
137	1093	6827
138	1102	6828
139	1109	6812
140	1120	6828
141	1129	6823
142	1137	6818
143	1145	6806
144	1153	6801
145	1161	6792
146	1170	6794
147	1179	6788
148	1187	6782
149	1195	6772
150	1203	6766
151	1211	6758
152	1219	6751
153	1227	6741
154	1235	6734
155	1243	6725
156	1251	6718
157	1258	6707
158	1266	6697
159	1274	6688
160	1282	6683
161	1290	6676
162	1298	6670
163	1305	6656
164	1312	6642
165	1320	6632
166	1327	6621
167	1336	6616
168	1343	6607
169	1351	6597
170	1359	6590
171	1369	6590
172	1377	6586
173	1385	6579
174	1397	6588
175	1405	6581
176	1414	6575
177	1421	6562
178	1429	6556
179	1436	6542
180	1443	6533
181	1452	6528
182	1463	6531
183	1471	6527
184	1480	6522
185	1487	6511
186	1498	6514
187	1511	6528
188	1521	6527
189	1530	6525
190	1539	6522
191	1549	6519
192	1558	6516
193	1567	6513
194	1576	6509
195	1586	6506
196	1594	6498
197	1602	6489
198	1610	6484
199	1617	6470
200	1625	6463
201	1635	6461
202	1643	6452
203	1650	6439
204	1658	6432
205	1670	6438
206	1679	6434
207	1687	6424
208	1695	6418
209	1703	6409
210	1712	6402
211	1719	6390
212	1726	6380
213	1734	6372
214	1742	6363
215	1749	6349
216	1755	6334
217	1762	6322
218	1768	6307
219	1776	6297
220	1783	6285
221	1790	6276
222	1796	6260
223	1803	6248
224	1811	6238
225	1817	6225
226	1824	6213
227	1831	6200
228	1838	6190
229	1845	6178
230	1852	6167
231	1859	6155
232	1867	6147
233	1874	6136
234	1882	6127
235	1889	6115
236	1895	6102
237	1902	6090
238	1909	6079
239	1916	6069
240	1931	6082
241	1946	6097
242	1961	6110
243	1971	6108
244	1981	6107
245	1990	6102
246	1998	6092
247	2007	6085
248	2014	6075
249	2022	6068
250	2030	6058
251	2041	6060
252	2052	6060
253	2060	6051
254	2071	6052
255	2081	6048
256	2088	6037
257	2095	6026
258	2103	6017
259	2110	6006
260	2120	6004
261	2129	5997
262	2137	5989
263	2142	5973
264	2150	5963
265	2158	5955
266	2165	5945
267	2173	5937
268	2180	5925
269	2188	5916
270	2195	5905
271	2203	5896
272	2210	5887
273	2218	5877
274	2226	5868
275	2233	5859
276	2241	5849
277	2248	5840
278	2256	5831
279	2264	5822
280	2272	5815
281	2282	5810
282	2289	5800
283	2296	5788
284	2303	5778
285	2310	5767
286	2317	5756
287	2323	5745
288	2330	5733
289	2338	5724
290	2345	5714
291	2352	5704
292	2359	5694
293	2367	5686
294	2375	5676
295	2382	5667
296	2390	5657
297	2397	5647
298	2404	5637
299	2411	5626
300	2418	5615
301	2425	5605
302	2433	5597
303	2441	5589
304	2448	5579
305	2455	5569
306	2463	5561
307	2471	5552
308	2478	5543
309	2486	5535
310	2494	5526
311	2502	5517
312	2509	5509
313	2517	5499
314	2524	5488
315	2532	5481
316	2539	5472
317	2548	5464
318	2556	5456
319	2564	5449
320	2572	5440
321	2579	5431
322	2586	5422
323	2594	5413
324	2602	5404
325	2609	5395
326	2617	5387
327	2625	5378
328	2635	5376
329	2645	5371
330	2654	5365
331	2662	5357
332	2670	5348
333	2678	5340
334	2686	5331
335	2693	5323
336	2701	5315
337	2709	5307
338	2717	5299
339	2725	5291
340	2734	5283
341	2741	5275
342	2749	5267
343	2757	5258
344	2765	5249
345	2772	5241
346	2780	5233
347	2788	5224
348	2796	5216
349	2804	5208
350	2812	5201
351	2820	5192
352	2828	5183
353	2835	5174
354	2843	5166
355	2851	5158
356	2859	5150
357	2867	5142
358	2875	5134
359	2883	5126
360	2891	5117
361	2899	5109
362	2907	5101
363	2915	5094
364	2923	5086
365	2932	5079
366	2939	5069
367	2947	5062
368	2955	5053
369	2962	5043
370	2970	5035
371	2978	5028
372	2986	5019
373	2993	5011
374	3001	5002
375	3010	4995
376	3018	4987
